message,priority,word_count,response_time_hours,customer_rating,department
"Low priority note. Hi team, Is there any chance we could look at my desk chair eventually? No hurry. Appreciate it.",low,21,80.2,1,hr
"Repeated failures. Good morning, We have lost access to the HR system and the support desk is stuck. We need this ASAP. I think, anyway. Regards.",high,26,10.7,5,operations
URGENT:  the  print  server down. We have a full outage on the print server affecting the finance team. Please action right away. The whole company is affected. This has to be done today. Raising this formally.,critical,36,3.2,5,support
Please take a look. A few people in all customers have mentioned the payment gateway being awkward. I have flagged this to my manager. Thank you.,medium,26,,,support
"Major incident. Hello, Customer data on the customer portal appears TO have been exposed! This is urgent. All users are hitting this. I have flagged this to my manager. Thanks in advance.",critical,32,0.3,,sales
"Low priority note. Good morning, Is there any chance we could look at the font on the intranet eventually? No rush at all.",low,23,25.9,,hr
"When you get a chance. Hi all, No action needed right now, just noting the font on the intranet. We need this fixed by end of day. Happy to give more information. Thanks.",low,33,67.6,,finance
"When you get a chance. Hi all, Small suggestion about the font on the intranet for whenever you get to it. It might just be me. Let me know.",low,29,66.2,,operations
"Issue report. Hi all, We are seeing occasional timeouts on the payment gateway! No rush at all. Cheers.",medium,18,44.3,3,engineering
"When you get a chance. Team, Small suggestion about a typo on the about page for whenever you get to it. Low priority I imagine. Cheers.",low,26,83.4,,sales
"URGENT: the mobile app down. Hello, the mobile app has been wiped and the backups are failing as well! All users are hitting this. Needs resolving WITHIN the hour. Escalating to the director. Let me know.",critical,36,1.3,,sales
"Slow  performance.  Team,  the booking system is running slower than usual for the warehouse. Let me know if you need more detail. Thanks.",high,23,12.9,,
"the CRM acting up. Team, the CRM is running slower than usual for the whole office. We need this fixed by end of day. No hurry. Logged this at 15:38 today. Appreciate it.",medium,33,22.2,4,engineering
,medium,32,31.1,,engineering
"Slow  performance.  Hi  all, the invoice tool is running slower than usual for the finance team. Please escalate this. Logged this at 11:39 today. Thanks.",medium,25,24.7,,support
"Need help <b>with</b> the HR system. Hi team, the HR system is rejecting valid requests and the sales team has no workaround. This is urgent. Needs resolving within the hour. Appreciate it.",high,32,6.6,,sales
"Major incident. Hi all, the login page is offline company-wide and nothing is going through. Please treat as top priority. The whole company is affected. We need this fixed by end of day. I have flagged this to my manager. Thanks in advance.",critical,43,3.0,,engineering
"  Low priority note. Hello, Just noticed a typo on the about page looks a bit out of date. Thanks.   ",medium,19,31.3,2,engineering
"the reporting database acting up. Team, We are seeing occasional timeouts on the reporting database. Low priority I imagine. Logged this at 11:23 today. Regards.",medium,25,16.3,,engineering
"  Minor thing. Hey, Could someone update the parking spreadsheet at some point? Not totally sure. Thanks.   ",low,16,35.4,,engineering
"Please take a look. Team, We are seeing occasional timeouts on the warehouse scanners. I think, anyway. Regards.",high,18,,2,hr
"Minor thing. Hi all, Small suggestion about my desk chair for whenever you get to it. Appreciate it. THIS IS TIME CRITICAL. !!!",low,23,66.4,,engineering
"When you get a chance. Hi, Could someone update the office plant rota at some point? Thanks in advance.!!!!!!!",low,,93.8,3,hr
"  Please take a look. Hello, Could someone check the print server? our EU users reported something odd. Only if you have time. Thanks.   ",medium,23,23.8,,support
"Small suggestion. Hi team, No action needed right now, just noting the notice board. It might just be me. I have restarted my machine already. Many thanks.",low,27,25.7,,engineering
the payment gateway problem. We have lost access to the payment gateway and the warehouse is stuck! Needs resolving within the hour. Thanks.,high,23,8.5,,support
"Question about the warehouse scanners. Hi, the warehouse scanners is running slower than usual for all customers. Let me know.",medium,20,20.2,,finance
"the VPN FULL OUTAGE. Hi, the VPN has stopped processing and we are losing data. Please treat as top priority. This affects EVERY branch. This has to be done today. Thanks in advance.",critical,33,2.4,,support
"Slow performance. Hey, everyone would like an update on the the invoice tool issue from last week. I have restarted my machine already. Thanks.",medium,,9.0,,support
"Please  take  a  look. Hi team, We are seeing occasional timeouts on the invoice tool. We need this ASAP. Let me know if you need more detail. Thanks in advance.",medium,30,41.1,,support
"Issue report. Hi all, the onboarding team would like an update on the the invoice tool issue from last week. This has to be done today. Let me know if you need more detail.",medium,34,,,finance
"Minor thing. Hi all, No action needed right now, just noting the office plant rota. Appreciate it.",low,17,77.1,,support
"Idea for later. Hi team, Could someone update the coffee machine at some point? Thanks in advance.",low,17,,,support
"Slow performance. Hi team, Could someone check the VPN? the night shift reported something odd. Many thanks.",medium,17,22.2,,sales
"When you get a chance. Good morning, Is there any chance we could look at my desk chair eventually? This is time critical. It might just be me. Thanks.",low,29,78.7,,support
the CRM <b>acting</b> up. everyone would like an update on the the CRM issue from last week. Thank you.,medium,19,16.5,,engineering
"Slow performance. Hey, the VPN threw an error once this morning but recovered. Escalating to the director.",medium,17,22.4,3,support
"Emergency. Hey, We have a full outage on the payment gateway affecting all customers. Please treat as top priority. All users are hitting this. Thank you.",critical,,0.3,,finance
,low,29,41.9,,finance
"the email server not working. Hi team, We have lost access to the email server and everyone is stuck. This is time critical. All users are hitting this.",,28,5.8,,operations
"When you get a chance. Hi team, Small suggestion about the office plant rota for whenever you get to it. No rush at all. I can send a screenshot if that helps. Appreciate it.",low,34,,,engineering
"Issue report. Morning, the mobile app is running slower than usual for our EU users. We need this fixed by end of day. No hurry. Thanks in advance.",medium,28,10.9,,finance
"Blocked - the HR system. Hi team, the HR system is rejecting valid requests and the onboarding team has no workaround. This has to be done today.",high,27,10.5,3,engineering
"Question about the warehouse scanners. Hi, the warehouse scanners is running slower than usual for the night shift. This affects every branch. Needs resolving within the hour. Escalating to the director. Appreciate it. PLEASE TREAT AS TOP PRIORITY. !!!",medium,39,36.2,,hr
Small suggestion. Small suggestion about a typo on the about page for whenever you get to it. No rush at all. I can send a screenshot if that helps. Regards.,low,30,,,hr
"Question about the invoice tool. Morning, the invoice tool is running slower than usual for the night shift. We need this fixed by end of day. Happy to give more information. Cheers.!!!!!!!",medium,32,29.7,,support
"the API gateway not working. Hey, the API gateway is failing repeatedly and the support desk cannot complete their work! Raising this formally. Low priority I imagine. Logged this at 15:16 today. Thank you.",high,34,,5,hr
"Need help with the mobile app. Hi all, the mobile app is rejecting valid requests and the night shift has no workaround. Thank you.",critical,24,9.3,5,operations
"Minor thing. Hi team, Just noticed the parking spreadsheet looks a bit out of date. Low priority I imagine. Thank you.",low,21,37.2,,support
"Question about the HR system. Hi, the warehouse would like an update on the the HR system issue from last week. Thanks in advance.",medium,24,9.2,,support
"When you get a chance. Hi, Would be nice to tidy up the font on the intranet when there is time. Low priority I imagine. It might just be me. Let me know.",medium,33,36.8,,sales
Slow performance. We are seeing occasional timeouts on the reporting database. No hurry. Ticket reference REF-55115. Many thanks.,medium,,43.7,,support
"Slow performance. Good morning, A few people in the night shift have mentioned the booking system being awkward. Escalating to the director. Whenever you get a chance. I can send a screenshot if that helps. Regards.",medium,36,26.2,,sales
"Repeated failures. Hi team, the VPN is failing repeatedly and the finance team cannot complete their work! Everyone is impacted. This has to be done today. Let me know if you need more detail. Thanks in advance.",high,37,6.4,,support
"Blocked - the mobile app. Hi all, We have lost access to the mobile app and the sales team is stuck! Whenever you get a chance. Ticket reference REF-93634.",high,29,10.2,4,finance
"Slow performance. Morning, the checkout page threw an error once this morning but recovered. The whole company is affected. Let me know.",medium,22,18.0,4,support
"Low priority <b>note.</b> Morning, Would be nice to tidy up the notice board when there is time. Please action right away. Many thanks.",low,23,,,support
"OUTAGE - the booking system. Good morning, the booking system has stopped processing and we are losing data! Please treat as top priority. All users are hitting this. Please escalate this. Logged this at 11:11 today. Appreciate it.",critical,38,,,operations
"Minor thing. Hey, Just noticed the parking spreadsheet looks a bit out of date. Many thanks.",low,16,56.0,,hr
"Low priority note. Team, Just noticed the staff photo page looks a bit out of date. No rush at all. Let me know if you need more detail. Appreciate it. NEEDS LOOKING AT IMMEDIATELY. !!!",low,35,83.5,1,support
"Small suggestion. <b>Hi,</b> Would be nice to tidy up my desk chair when there is time. Low priority I imagine. Many thanks.",low,22,18.2,,engineering
When you get a chance. Would be nice to tidy up the parking spreadsheet when there is time. Low priority I imagine. Thank you.,low,24,78.1,3,engineering
"the checkout page acting up. Team, the checkout page is running slower than usual for the sales team. This is time critical. No rush at all. I have restarted my machine already.",medium,32,42.3,,engineering
"Small suggestion. Hi team, Could someone update the staff photo page at some point? Only if you have time. I can send a screenshot if that helps. Cheers.",low,28,80.6,1,support
"Minor thing. Hey, Could someone update the meeting room projector at some point? Not totally sure. Thanks.",low,17,,3,hr
"Please take a look. Team, the invoice tool is running slower than usual for the night shift. This is time critical. I think, anyway. Appreciate it.",high,26,28.2,,engineering
"Question  about  the  print server. Hello, the finance team would like an update on the the print server issue from last week. Cheers.",low,23,45.3,1,hr
"Please take a look. Morning, We are seeing occasional timeouts on the customer portal.",medium,14,,3,engineering
"Small suggestion. Hello, Small suggestion about the notice board for whenever you get to it. Whenever you get a chance. I have restarted my machine already. Thanks.",low,27,22.4,2,support
"the customer portal not working. Hello, We have lost access to THE customer portal and the night shift is stuck. Let me know if you need more detail. Regards.",high,29,10.9,1,support
